tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,12075,165,6000,18240,480,11462.173
2,273.400,273.400,12380,168,6172,18720,728,11790.041
3,464.351,190.952,12760,173,6267,19200,931,11972.469
4,767.397,303.046,13017,198,6465,19680,1236,12351.480
5,992.160,224.763,13361,205,6594,20160,1472,12598.125
6,1249.053,256.893,13677,220,6743,20640,1696,12885.565
7,1510.901,261.848,13990,223,6907,21120,1879,13194.142
8,1802.051,291.150,14280,223,7097,21600,2076,13557.916
9,2066.845,264.794,14593,225,7262,22080,2246,13876.371
10,2350.559,283.714,14890,226,7444,22560,2428,14222.475
11,2575.441,224.882,15228,244,7568,23040,2560,14457.840
12,2788.515,213.074,15590,246,7684,23520,2675,14679.589
13,2982.363,193.848,15965,250,7785,24000,2778,14875.607
14,3313.271,330.908,16219,254,8007,24480,2997,15303.574
15,3512.380,199.109,16582,265,8113,24960,3101,15505.736
16,3702.720,190.340,16954,273,8213,25440,3183,15695.929
17,3880.661,177.940,17343,277,8300,25920,3263,15861.768
18,4051.832,171.171,17733,285,8382,26400,3334,16018.760
19,4292.424,240.592,18049,307,8524,26880,3456,16289.759
20,4452.633,160.209,18431,337,8592,27360,3519,16419.275
21,4637.035,184.402,18804,356,8680,27840,3593,16588.505
22,4894.666,257.630,19120,362,8838,28320,3749,16891.601
23,5153.193,258.527,19460,368,8972,28800,3852,17147.634
24,5286.142,132.949,19894,372,9014,29280,3890,17227.899
25,5483.682,197.540,20256,389,9115,29760,3954,17420.943
26,5655.733,172.051,20666,391,9183,30240,4000,17553.973
27,6042.028,386.295,20856,403,9461,30720,4155,18087.518
28,6416.094,374.066,21062,410,9728,31200,4308,18598.625
29,6767.236,351.142,21297,414,9969,31680,4362,19059.130
30,7028.203,260.967,21626,418,10116,32160,4415,19339.788
31,7410.793,382.590,21830,430,10380,32640,4632,19840.180
32,7625.927,215.134,22178,448,10494,33120,4686,20057.580
33,7860.590,234.662,22512,460,10628,33600,4727,20311.990
34,8100.257,239.667,22840,470,10770,34080,4786,20583.801
35,8391.963,291.706,23127,473,10960,34560,4827,20946.764
36,8644.227,252.264,23450,476,11114,35040,4939,21244.133
37,8866.271,222.044,23801,478,11241,35520,4990,21487.510
38,9052.917,186.646,24183,481,11336,36000,5013,21672.100
39,9299.872,246.954,24508,486,11486,36480,5094,21960.770
40,9556.068,256.197,24825,497,11638,36960,5200,22248.923
41,9862.015,305.947,25090,511,11839,37440,5271,22634.324
42,10067.983,205.968,25454,518,11948,37920,5333,22845.850
43,10365.350,297.368,25734,519,12147,38400,5469,23223.927
44,10531.761,166.410,26130,525,12225,38880,5518,23371.948
45,10772.999,241.239,26458,534,12368,39360,5588,23643.095
46,10970.897,197.898,26816,554,12470,39840,5661,23839.261
47,11104.389,133.492,27247,554,12519,40320,5698,23932.723
48,11252.161,147.772,27663,558,12579,40800,5730,24047.542
49,11509.997,257.836,27982,558,12740,41280,5810,24357.028
50,11646.790,136.793,28412,563,12785,41760,5836,24443.683
51,11789.741,142.951,28834,565,12841,42240,5875,24551.424
52,11975.788,186.047,29213,572,12935,42720,5909,24730.460
53,12189.364,213.577,29570,575,13055,43200,5975,24954.421
54,12399.550,210.186,29928,585,13167,43680,6021,25168.011
55,12673.257,273.707,30227,595,13338,44160,6084,25494.381
56,12879.590,206.333,30586,607,13447,44640,6132,25703.743
57,13066.064,186.474,30948,635,13537,45120,6166,25879.216
58,13312.011,245.947,31269,648,13683,45600,6247,26156.753
59,13508.907,196.895,31630,665,13785,46080,6329,26352.108
60,13668.802,159.896,32038,667,13855,46560,6382,26488.136
61,13842.245,173.443,32432,672,13936,47040,6436,26645.791
62,14105.557,263.312,32736,683,14101,47520,6476,26961.543
63,14479.908,374.352,32945,686,14369,48000,6497,27476.582
64,14856.480,376.572,33155,690,14635,48480,6606,27987.542
65,15110.155,253.675,33479,694,14787,48960,6666,28279.480
66,15374.083,263.928,33787,702,14951,49440,6715,28594.004
67,15668.480,294.397,34071,706,15143,49920,6746,28958.884
68,15929.744,261.263,34373,725,15302,50400,6771,29260.235
69,16258.545,328.801,34627,727,15526,50880,6841,29689.307
70,16420.040,161.495,35032,728,15600,51360,6857,29830.791
71,16648.698,228.659,35375,737,15728,51840,6870,30077.559
72,16904.925,256.226,35697,739,15884,52320,6898,30375.223
73,17094.260,189.335,36077,743,15980,52800,6925,30557.258
74,17296.006,201.746,36451,744,16085,53280,6937,30754.677
75,17605.217,309.211,36732,745,16283,53760,6967,31136.932
76,17810.353,205.135,37104,745,16391,54240,6989,31343.444
77,18059.558,249.206,37430,751,16539,54720,7009,31626.142
78,18315.005,255.447,37748,757,16695,55200,7037,31927.050
79,18580.574,265.569,38050,767,16863,55680,7058,32244.597
80,18728.044,147.470,38467,771,16922,56160,7064,32360.079
81,18939.517,211.473,38815,789,17036,56640,7080,32577.208
82,19201.719,262.202,39124,798,17198,57120,7106,32885.490
83,19667.345,465.626,39247,801,17552,57600,7161,33558.651
84,19858.038,190.693,39626,806,17648,58080,7194,33743.659
85,20030.963,172.925,40016,820,17724,58560,7243,33890.034
86,20236.812,205.849,40378,828,17834,59040,7314,34100.085
87,20425.667,188.856,40753,838,17929,59520,7356,34283.053
88,20623.232,197.565,41108,862,18030,60000,7378,34474.476
89,20778.197,154.965,41515,873,18092,60480,7410,34591.752
90,20940.512,162.316,41911,886,18163,60960,7440,34729.550
91,21341.810,401.297,42096,889,18455,61440,7482,35290.300
92,21596.660,254.851,42414,895,18611,61920,7536,35588.776
93,21788.883,192.223,42788,901,18711,62400,7560,35782.214
94,21968.636,179.753,43174,909,18797,62880,7582,35945.202
95,22245.032,276.397,43476,915,18969,63360,7636,36275.233
96,22574.412,329.380,43731,920,19189,63840,7680,36695.876
97,22776.903,202.490,44106,921,19293,64320,7723,36894.769
98,22951.714,174.812,44502,924,19374,64800,7744,37048.099
99,23203.773,252.058,44823,933,19524,65280,7764,37334.876
100,23460.725,256.952,45146,938,19676,65760,7800,37626.003
101,23681.103,220.379,45493,946,19801,66240,7815,37862.597
102,23899.039,217.936,45835,962,19923,66720,7839,38095.774
103,24080.602,181.563,46220,966,20014,67200,7866,38271.123
104,24241.033,160.431,46622,978,20080,67680,7878,38397.641
105,24507.638,266.605,46933,980,20247,68160,7906,38715.310
106,24720.405,212.767,47289,987,20364,68640,7942,38938.288
107,24940.724,220.320,47653,992,20475,69120,7976,39149.568
108,25199.281,258.557,47974,995,20631,69600,8001,39447.233
109,25385.464,186.182,48351,1006,20723,70080,8011,39622.189
110,25671.600,286.137,48637,1013,20910,70560,8019,39980.655
111,25905.682,234.081,48978,1018,21044,71040,8030,40238.580
112,26133.444,227.762,49314,1028,21178,71520,8056,40492.990
113,26299.495,166.051,49694,1059,21247,72000,8069,40624.816
114,26541.280,241.785,50010,1086,21384,72480,8105,40887.779
115,26757.223,215.943,50358,1100,21502,72960,8135,41112.527
116,26981.925,224.702,50699,1111,21630,73440,8168,41356.591
117,27195.376,213.452,51050,1126,21744,73920,8186,41577.505
118,27352.485,157.108,51405,1198,21797,74400,8195,41678.856
119,27508.219,155.734,51770,1258,21852,74880,8199,41782.665
120,27722.717,214.497,52059,1348,21953,75360,8204,41975.980
121,27895.875,173.159,52419,1396,22025,75840,8218,42113.655
122,28060.918,165.043,52796,1427,22097,76320,8229,42250.519
123,28298.608,237.690,53110,1459,22231,76800,8247,42507.903
124,28534.604,235.997,53436,1478,22366,77280,8270,42765.976
125,28764.949,230.344,53775,1489,22496,77760,8291,43019.256
126,29015.428,250.479,54097,1496,22647,78240,8301,43305.640
127,29184.124,168.696,54494,1500,22726,78720,8317,43457.864
128,29386.027,201.903,54855,1515,22830,79200,8333,43658.920
129,29597.382,211.355,55168,1577,22935,79680,8363,43859.042
130,29752.739,155.357,55547,1620,22993,80160,8384,43968.160
131,29917.003,164.265,55925,1654,23061,80640,8401,44097.946
132,30107.220,190.217,56286,1682,23152,81120,8422,44272.484
133,30288.609,181.389,56673,1691,23236,81600,8443,44430.852
134,30502.474,213.864,57031,1697,23352,82080,8459,44651.790
135,30692.117,189.643,57408,1707,23445,82560,8474,44830.949
136,30918.974,226.857,57757,1709,23574,83040,8492,45079.486
137,31105.264,186.290,58133,1717,23670,83520,8515,45264.495
138,31481.415,376.151,58338,1725,23937,84000,8554,45775.602
139,31736.989,255.574,58654,1725,24101,84480,8584,46090.125
140,31909.487,172.499,59035,1743,24182,84960,8590,46244.807
141,32128.594,219.107,59352,1789,24299,85440,8607,46466.163
142,32333.593,204.999,59693,1823,24404,85920,8624,46666.015
143,32501.910,168.318,60050,1880,24470,86400,8640,46792.532
144,32680.324,178.414,60422,1911,24547,86880,8653,46938.243
145,32947.820,267.496,60729,1917,24714,87360,8663,47256.183
146,33221.452,273.631,61023,1927,24890,87840,8690,47592.210
147,33440.168,218.717,61378,1933,25009,88320,8723,47820.079
148,33663.652,223.484,61718,1944,25138,88800,8746,48066.183
149,33868.905,205.253,62077,1954,25249,89280,8758,48279.626
150,34099.205,230.300,62414,1962,25384,89760,8765,48537.158
151,34265.307,166.102,62816,1964,25460,90240,8782,48683.532
