tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,5379,131,890,6400,128,3396.207
2,35.376,35.376,5493,144,891,6528,218,3400.286
3,65.695,30.320,5609,153,894,6656,282,3411.444
4,97.710,32.014,5720,167,897,6784,366,3423.683
5,128.012,30.303,5831,182,899,6912,432,3431.301
6,152.995,24.982,5949,191,900,7040,460,3434.840
7,174.226,21.231,6074,193,901,7168,474,3438.379
8,194.392,20.166,6199,196,901,7296,492,3438.379
9,218.700,24.307,6320,202,902,7424,522,3442.459
10,244.688,25.988,6436,213,903,7552,554,3445.998
11,265.137,20.449,6561,216,903,7680,560,3445.998
12,287.144,22.008,6683,222,903,7808,578,3445.998
13,306.237,19.093,6810,223,903,7936,580,3445.998
14,325.260,19.023,6937,224,903,8064,586,3445.998
15,353.220,27.960,7059,227,906,8192,598,3458.236
16,380.814,27.594,7173,240,907,8320,627,3461.775
17,401.522,20.708,7297,244,907,8448,635,3461.775
18,422.885,21.363,7424,244,908,8576,640,3465.855
19,448.937,26.052,7544,250,910,8704,654,3472.933
20,474.874,25.938,7657,265,910,8832,697,3472.933
21,497.817,22.943,7780,269,911,8960,703,3477.012
22,516.490,18.672,7908,269,911,9088,704,3477.012
23,536.457,19.967,8034,271,911,9216,708,3477.012
24,565.003,28.547,8153,279,912,9344,720,3480.551
25,587.828,22.825,8272,288,912,9472,733,3480.551
26,613.001,25.173,8391,296,913,9600,744,3484.090
27,633.035,20.034,8516,299,913,9728,747,3484.090
28,652.119,19.083,8643,300,913,9856,749,3484.090
29,678.517,26.398,8768,302,914,9984,753,3488.170
30,704.556,26.039,8885,312,915,10112,759,3492.250
31,734.730,30.174,9000,322,918,10240,776,3503.948
32,783.084,48.354,9108,330,930,10368,800,3548.037
33,812.486,29.402,9221,343,932,10496,806,3555.656
34,838.221,25.735,9336,356,932,10624,814,3555.656
35,861.333,23.111,9462,357,933,10752,816,3559.735
36,888.462,27.129,9576,370,934,10880,829,3563.274
37,911.290,22.828,9695,379,934,11008,835,3563.274
38,931.323,20.032,9821,381,934,11136,837,3563.274
39,951.835,20.512,9945,385,934,11264,842,3563.274
40,979.333,27.497,10057,400,935,11392,844,3566.813
41,999.986,20.653,10182,403,935,11520,846,3566.813
42,1020.343,20.357,10308,405,935,11648,846,3566.813
43,1045.037,24.694,10429,411,936,11776,849,3570.352
44,1071.568,26.531,10543,425,936,11904,853,3570.352
45,1093.358,21.790,10668,428,936,12032,854,3570.352
46,1123.281,29.922,10783,440,937,12160,864,3574.432
47,1148.172,24.891,10908,442,938,12288,865,3578.511
48,1173.683,25.511,11023,455,938,12416,866,3578.511
49,1196.548,22.866,11145,461,938,12544,867,3578.511
50,1220.562,24.013,11268,465,939,12672,869,3582.591
51,1243.313,22.751,11389,472,939,12800,869,3582.591
