tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,3524,251,2625,6400,128,9999.090
2,161.066,161.066,3570,261,2697,6528,218,10272.817
3,285.150,124.084,3638,269,2749,6656,282,10468.737
4,466.992,181.842,3681,271,2832,6784,366,10783.556
5,621.513,154.521,3738,272,2902,6912,432,11049.665
6,748.593,127.080,3810,273,2957,7040,460,11259.445
7,822.363,73.770,3904,281,2983,7168,474,11357.946
8,913.819,91.456,3982,298,3016,7296,492,11485.544
9,1017.866,104.047,4060,306,3058,7424,522,11646.616
10,1143.976,126.110,4116,328,3108,7552,554,11839.242
11,1226.315,82.339,4196,350,3134,7680,560,11942.068
12,1323.828,97.513,4269,369,3170,7808,578,12079.743
13,1390.184,66.356,4371,372,3193,7936,580,12168.708
14,1483.023,92.840,4458,377,3229,8064,586,12304.761
15,1580.958,97.935,4543,381,3268,8192,598,12455.756
16,1757.286,176.328,4586,386,3348,8320,627,12756.173
17,1854.233,96.947,4667,400,3381,8448,635,12882.690
18,1925.613,71.381,4762,410,3404,8576,640,12971.114
19,2017.517,91.904,4845,421,3438,8704,654,13099.549
20,2163.255,145.738,4899,434,3499,8832,697,13333.807
21,2279.765,116.510,4969,446,3545,8960,703,13509.034
22,2406.618,126.853,5038,452,3598,9088,704,13710.655
23,2467.215,60.597,5141,459,3616,9216,708,13780.845
24,2588.149,120.934,5197,486,3661,9344,720,13952.532
25,2682.705,94.555,5289,486,3697,9472,733,14090.748
26,2777.439,94.734,5378,488,3734,9600,744,14231.421
27,2847.133,69.695,5483,488,3757,9728,747,14320.927
28,2952.174,105.041,5568,488,3800,9856,749,14482.833
29,3065.595,113.421,5647,492,3845,9984,753,14653.981
30,3284.284,218.689,5669,492,3951,10112,759,15055.602
31,3443.415,159.131,5724,493,4023,10240,776,15333.114
32,3592.313,148.898,5784,493,4091,10368,800,15592.686
33,3729.484,137.171,5850,494,4152,10496,806,15826.403
34,3901.283,171.799,5897,494,4233,10624,814,16133.063
35,4010.206,108.923,5980,495,4277,10752,816,16302.834
36,4149.361,139.155,6044,497,4339,10880,829,16539.009
37,4241.678,92.317,6133,499,4376,11008,835,16679.141
38,4349.792,108.114,6213,502,4421,11136,837,16851.370
39,4504.597,154.805,6271,503,4490,11264,842,17115.562
40,4650.710,146.113,6328,508,4556,11392,844,17365.893
41,4757.122,106.412,6398,525,4597,11520,846,17522.344
42,4843.155,86.032,6475,546,4627,11648,846,17636.622
43,5046.532,203.378,6506,547,4723,11776,849,18001.232
44,5159.256,112.724,6585,548,4771,11904,853,18185.699
45,5217.690,58.434,6693,550,4789,12032,854,18255.348
46,5328.707,111.016,6772,552,4836,12160,864,18434.114
47,5407.059,78.352,6870,553,4865,12288,865,18546.475
48,5564.853,157.795,6930,553,4933,12416,866,18802.803
