tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,7849,511,3800,12160,320,7222.067
2,209.723,209.723,8027,520,3933,12480,601,7474.840
3,361.103,151.380,8256,528,4016,12800,716,7632.585
4,473.373,112.270,8511,544,4065,13120,798,7725.711
5,576.239,102.866,8778,556,4106,13440,879,7803.634
6,782.233,205.994,8941,587,4232,13760,1068,8043.102
7,961.828,179.595,9135,607,4338,14080,1215,8244.560
8,1128.866,167.038,9339,630,4431,14400,1335,8421.310
9,1331.461,202.595,9505,657,4558,14720,1496,8662.680
10,1490.837,159.376,9715,676,4649,15040,1603,8835.629
11,1666.485,175.648,9912,696,4752,15360,1718,9031.385
12,1771.006,104.522,10170,718,4792,15680,1771,9107.407
13,1883.278,112.272,10419,743,4838,16000,1833,9194.832
14,2007.766,124.488,10657,765,4898,16320,1906,9308.865
15,2231.882,224.116,10820,773,5047,16640,2060,9592.046
16,2350.271,118.389,11076,781,5103,16960,2117,9698.476
17,2475.207,124.937,11330,787,5163,17280,2175,9812.509
18,2582.255,107.047,11592,799,5209,17600,2221,9899.934
19,2728.416,146.162,11825,805,5290,17920,2300,10053.878
20,2849.369,120.953,12064,832,5344,18240,2350,10156.507
21,2984.512,135.143,12288,859,5413,18560,2421,10287.645
22,3110.704,126.192,12524,885,5471,18880,2478,10397.876
23,3243.100,132.396,12737,930,5533,19200,2536,10515.710
24,3355.722,112.622,12953,992,5575,19520,2572,10595.533
25,3549.605,193.883,13119,1023,5698,19840,2695,10829.300
26,3670.966,121.361,13361,1044,5755,20160,2746,10937.631
27,3932.008,261.043,13469,1072,5939,20480,2850,11287.331
28,4117.704,185.695,13633,1119,6048,20800,2931,11494.490
29,4276.687,158.984,13833,1150,6137,21120,2999,11663.639
30,4390.491,113.804,14063,1199,6178,21440,3019,11741.561
31,4569.849,179.358,14248,1225,6287,21760,3092,11948.720
32,4767.127,197.278,14388,1284,6408,22080,3156,12178.686
33,4966.165,199.037,14545,1321,6534,22400,3261,12418.154
34,5103.160,136.995,14781,1333,6606,22720,3315,12554.994
35,5227.643,124.484,15026,1346,6668,23040,3359,12672.827
36,5325.925,98.282,15298,1354,6708,23360,3384,12748.849
37,5464.347,138.422,15524,1376,6780,23680,3436,12885.688
38,5612.549,148.202,15713,1432,6855,24000,3463,13028.229
39,5799.339,186.791,15867,1487,6966,24320,3533,13239.190
40,5926.831,127.492,16062,1558,7020,24640,3557,13341.819
41,6060.393,133.561,16279,1596,7085,24960,3584,13465.354
42,6223.319,162.927,16475,1627,7178,25280,3619,13642.105
43,6367.259,143.940,16715,1643,7242,25600,3650,13763.740
44,6561.539,194.280,16850,1717,7353,25920,3673,13974.700
45,6679.468,117.930,17089,1744,7407,26240,3684,14077.329
46,6828.522,149.054,17305,1764,7491,26560,3702,14236.975
47,6981.367,152.845,17500,1806,7574,26880,3728,14394.720
48,7150.136,168.769,17664,1871,7665,27200,3774,14567.670
49,7294.177,144.041,17835,1952,7733,27520,3808,14696.907
50,7390.840,96.663,18089,1983,7768,27840,3824,14763.426
51,7502.805,111.965,18334,2015,7811,28160,3846,14845.149
52,7635.848,133.043,18534,2074,7872,28480,3880,14961.082
53,7765.060,129.213,18733,2140,7927,28800,3894,15065.612
54,7877.280,112.219,18980,2161,7979,29120,3935,15164.441
55,7978.015,100.735,19231,2192,8017,29440,3951,15236.661
56,8070.268,92.253,19497,2213,8050,29760,3969,15299.379
57,8213.746,143.478,19729,2222,8129,30080,4021,15449.522
58,8325.727,111.981,19982,2239,8179,30400,4050,15544.549
59,8402.879,77.152,20272,2246,8202,30720,4065,15588.262
60,8527.288,124.409,20511,2268,8261,31040,4094,15700.394
61,8732.442,205.155,20675,2294,8391,31360,4171,15947.465
62,8831.617,99.174,20927,2325,8428,31680,4180,16017.785
63,8945.322,113.705,21164,2358,8478,32000,4209,16112.812
64,9066.387,121.065,21385,2405,8530,32320,4238,16211.640
65,9197.665,131.278,21609,2437,8594,32640,4269,16333.275
66,9288.282,90.617,21846,2495,8619,32960,4288,16380.789
67,9389.884,101.602,22071,2558,8651,33280,4303,16441.606
68,9479.532,89.648,22336,2583,8681,33600,4316,16498.622
69,9608.904,129.371,22539,2641,8740,33920,4344,16610.755
70,9766.906,158.003,22720,2695,8825,34240,4382,16772.301
71,9943.420,176.514,22887,2746,8927,34560,4407,16966.156
72,10084.252,140.832,23088,2795,8997,34880,4426,17099.194
73,10200.122,115.870,23326,2826,9048,35200,4443,17196.122
74,10486.279,286.157,23400,2866,9254,35520,4470,17587.634
75,10693.881,207.602,23570,2884,9386,35840,4482,17838.506
76,10926.659,232.778,23715,2898,9547,36160,4536,18144.494
77,11103.965,177.306,23911,2911,9658,36480,4572,18355.454
78,11295.328,191.363,24085,2938,9777,36800,4586,18581.619
79,11489.705,194.377,24257,2962,9901,37120,4619,18817.286
80,11636.873,147.168,24472,2986,9982,37440,4649,18971.230
81,11795.452,158.579,24682,3002,10076,37760,4666,19149.881
82,11924.443,128.992,24898,3045,10137,38080,4685,19265.815
83,12088.986,164.542,25079,3094,10227,38400,4712,19436.863
84,12225.623,136.637,25303,3120,10297,38720,4724,19569.902
85,12384.823,159.200,25516,3133,10391,39040,4744,19748.553
86,12552.201,167.378,25722,3150,10488,39360,4753,19932.905
87,12716.984,164.783,25917,3180,10583,39680,4756,20113.457
88,12830.472,113.488,26156,3215,10629,40000,4760,20200.882
89,12977.814,147.342,26378,3232,10710,40320,4782,20354.826
90,13102.239,124.425,26620,3249,10771,40640,4799,20470.759
91,13247.030,144.791,26848,3264,10848,40960,4805,20617.101
92,13480.114,233.084,26983,3306,10991,41280,4811,20888.879
93,13609.369,129.255,27204,3343,11053,41600,4819,21006.713
94,13742.612,133.243,27419,3383,11118,41920,4839,21130.248
95,13870.234,127.622,27633,3432,11175,42240,4853,21238.579
96,14000.537,130.303,27853,3471,11236,42560,4862,21354.512
97,14169.194,168.657,28044,3503,11333,42880,4892,21538.865
98,14399.667,230.473,28179,3531,11490,43200,4909,21837.251
99,14606.390,206.723,28356,3538,11626,43520,4916,22095.725
100,14750.549,144.159,28592,3541,11707,43840,4929,22249.669
101,14967.684,217.136,28740,3573,11847,44160,4946,22515.745
102,15101.502,133.818,28978,3587,11915,44480,4971,22644.982
103,15266.720,165.219,29167,3624,12009,44800,5004,22823.633
104,15379.639,112.918,29424,3636,12060,45120,5019,22920.561
105,15480.066,100.427,29691,3647,12102,45440,5030,23000.383
106,15622.293,142.227,29886,3703,12171,45760,5035,23131.521
107,15787.854,165.560,30088,3723,12269,46080,5043,23317.774
108,15939.437,151.583,30292,3757,12351,46400,5065,23473.619
109,16107.825,168.389,30501,3765,12454,46720,5094,23669.375
110,16232.469,124.644,30749,3775,12516,47040,5106,23787.209
111,16351.834,119.365,30993,3795,12572,47360,5112,23893.639
112,16477.518,125.684,31230,3817,12633,47680,5130,24009.572
113,16609.937,132.418,31451,3852,12697,48000,5143,24131.207
114,16753.530,143.593,31633,3923,12764,48320,5153,24258.544
115,16964.885,211.355,31792,3950,12898,48640,5165,24513.217
116,17167.335,202.451,31958,3973,13029,48960,5175,24762.188
117,17343.758,176.423,32154,3988,13138,49280,5187,24969.347
118,17553.200,209.442,32319,4003,13278,49600,5203,25235.423
119,17687.493,134.293,32557,4016,13347,49920,5209,25366.561
120,17784.240,96.747,32802,4059,13379,50240,5218,25427.378
121,17921.672,137.432,33038,4070,13452,50560,5228,25566.118
122,18034.361,112.689,33299,4076,13505,50880,5237,25666.847
123,18138.296,103.935,33569,4081,13550,51200,5243,25752.371
124,18265.378,127.082,33810,4098,13612,51520,5251,25870.205
125,18390.917,125.539,34054,4111,13675,51840,5258,25989.939
126,18493.950,103.032,34318,4124,13718,52160,5272,26071.663
127,18591.462,97.513,34586,4138,13756,52480,5282,26143.883
128,18768.043,176.581,34743,4202,13855,52800,5283,26332.037
129,18991.198,223.155,34865,4254,14001,53120,5291,26609.517
130,19169.111,177.912,35046,4291,14103,53440,5301,26803.372
131,19350.645,181.534,35239,4310,14211,53760,5314,27008.631
132,19498.679,148.034,35489,4329,14262,54080,5326,27105.559
133,19674.877,176.197,35664,4374,14362,54400,5335,27295.613
134,19846.511,171.634,35866,4387,14467,54720,5339,27495.170
135,19969.842,123.332,36107,4406,14527,55040,5346,27609.203
136,20143.453,173.610,36306,4420,14634,55360,5356,27812.561
137,20316.522,173.069,36494,4453,14733,55680,5363,28000.715
138,20445.547,129.025,36695,4515,14790,56000,5374,28109.046
139,20568.878,123.331,36942,4529,14849,56320,5392,28221.178
140,20696.895,128.017,37151,4582,14907,56640,5400,28331.409
141,20822.646,125.751,37383,4611,14966,56960,5407,28443.542
142,20940.311,117.665,37615,4648,15017,57280,5417,28540.469
143,21111.021,170.710,37808,4674,15118,57600,5460,28732.424
144,21239.836,128.814,38051,4692,15177,57920,5471,28844.556
145,21372.271,132.435,38286,4709,15245,58240,5488,28973.793
146,21528.100,155.829,38494,4732,15334,58560,5500,29142.942
147,21670.280,142.180,38692,4783,15405,58880,5513,29277.880
148,21799.225,128.945,38901,4834,15465,59200,5528,29391.913
149,21920.302,121.077,39131,4870,15519,59520,5545,29494.542
150,22028.327,108.025,39392,4882,15566,59840,5556,29583.868
151,22155.186,126.859,39622,4911,15627,60160,5568,29699.801
152,22293.877,138.691,39856,4922,15702,60480,5571,29842.342
153,22414.060,120.183,40099,4942,15759,60800,5578,29950.673
