tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,32582,9390,13388,55360,320,25444.483
2,182.996,182.996,32774,9403,13503,55680,574,25663.046
3,304.362,121.366,33006,9436,13558,56000,689,25767.576
4,395.427,91.066,33283,9446,13591,56320,757,25830.294
5,500.345,104.917,33549,9455,13636,56640,817,25915.818
6,670.402,170.057,33754,9467,13739,56960,936,26111.574
7,860.787,190.385,33949,9472,13859,57280,1061,26339.639
8,1027.639,166.852,34142,9509,13949,57600,1171,26510.688
9,1174.539,146.899,34371,9517,14032,57920,1257,26668.433
10,1355.509,180.970,34557,9539,14144,58240,1385,26881.294
11,1519.904,164.395,34763,9556,14241,58560,1487,27065.647
12,1669.185,149.281,34968,9590,14322,58880,1578,27219.591
13,1783.745,114.560,35215,9613,14372,59200,1640,27314.618
14,1988.179,204.434,35372,9644,14504,59520,1781,27565.490
15,2161.385,173.207,35567,9668,14605,59840,1889,27757.445
16,2352.583,191.198,35717,9723,14720,60160,1998,27976.008
17,2511.426,158.843,35875,9806,14799,60480,2075,28126.151
18,2645.843,134.417,36084,9852,14864,60800,2137,28249.686
19,2772.330,126.487,36328,9867,14925,61120,2195,28365.619
20,2955.420,183.090,36489,9919,15032,61440,2295,28568.977
21,3082.088,126.668,36727,9942,15091,61760,2350,28681.110
22,3241.425,159.337,36940,9963,15177,62080,2432,28844.556
23,3367.914,126.489,37170,9993,15237,62400,2484,28958.589
24,3482.883,114.969,37411,10021,15288,62720,2528,29055.517
25,3630.195,147.311,37612,10064,15364,63040,2595,29199.958
26,3743.919,113.725,37828,10126,15406,63360,2632,29279.781
27,3881.837,137.918,37989,10227,15464,63680,2664,29390.012
28,4020.074,138.237,38164,10311,15525,64000,2703,29505.946
29,4161.754,141.680,38341,10386,15593,64320,2751,29635.183
30,4289.586,127.832,38542,10448,15650,64640,2797,29743.514
31,4403.057,113.472,38742,10530,15688,64960,2818,29815.734
32,4524.214,121.156,38938,10607,15735,65280,2849,29905.060
33,4743.568,219.354,39069,10651,15880,65600,2909,30180.639
34,4911.873,168.305,39273,10666,15981,65920,2931,30372.594
35,5048.130,136.257,39505,10683,16052,66240,2955,30507.532
36,5193.628,145.498,39678,10766,16116,66560,2978,30629.167
37,5309.033,115.404,39901,10817,16162,66880,3003,30716.592
38,5403.581,94.548,40171,10833,16196,67200,3019,30781.211
39,5512.044,108.463,40427,10850,16243,67520,3047,30870.536
40,5772.673,260.629,40487,10935,16418,67840,3151,31203.131
41,5893.880,121.206,40720,10968,16472,68160,3175,31305.761
42,6027.796,133.917,40941,11002,16537,68480,3212,31429.296
43,6158.953,131.157,41134,11072,16594,68800,3242,31537.627
44,6320.827,161.874,41318,11118,16684,69120,3285,31708.676
45,6429.883,109.056,41562,11149,16729,69440,3314,31794.201
46,6545.789,115.906,41797,11184,16779,69760,3331,31889.228
47,6694.082,148.293,42002,11222,16856,70080,3363,32035.570
48,6894.302,200.220,42161,11257,16982,70400,3477,32275.038
49,7063.327,169.025,42360,11279,17081,70720,3529,32463.192
50,7194.777,131.449,42580,11313,17147,71040,3576,32588.628
51,7352.153,157.376,42711,11434,17215,71360,3592,32717.865
52,7492.588,140.435,42884,11518,17278,71680,3617,32837.599
53,7627.096,134.508,43088,11571,17341,72000,3662,32957.334
54,7744.751,117.655,43319,11610,17391,72320,3692,33052.361
55,7880.050,135.299,43517,11669,17454,72640,3711,33172.095
56,7978.285,98.235,43774,11697,17489,72960,3733,33238.614
57,8161.000,182.715,43950,11731,17599,73280,3778,33447.674
58,8337.617,176.617,44123,11774,17703,73600,3819,33645.330
59,8500.004,162.387,44298,11832,17790,73920,3859,33810.678
60,8663.296,163.292,44440,11930,17870,74240,3912,33962.721
61,8799.055,135.760,44598,12039,17923,74560,3942,34063.450
62,8923.941,124.885,44798,12109,17973,74880,3969,34158.477
63,9103.312,179.372,44955,12168,18077,75200,3994,34356.134
64,9266.849,163.536,45152,12197,18171,75520,4031,34534.785
65,9387.779,120.930,45387,12230,18223,75840,4045,34633.613
66,9521.772,133.993,45598,12276,18286,76160,4063,34753.348
67,9658.056,136.284,45823,12301,18356,76480,4077,34886.386
68,9788.372,130.316,46014,12374,18412,76800,4103,34992.816
69,9909.012,120.640,46221,12438,18461,77120,4121,35085.943
70,10025.452,116.439,46444,12488,18508,77440,4138,35175.268
71,10225.096,199.645,46601,12528,18631,77760,4148,35409.035
72,10347.464,122.368,46806,12598,18676,78080,4170,35494.560
73,10493.342,145.877,46967,12695,18738,78400,4208,35612.393
74,10596.067,102.726,47143,12816,18761,78720,4217,35656.106
75,10697.493,101.426,47359,12891,18790,79040,4238,35711.222
76,10815.483,117.989,47546,12984,18830,79360,4255,35787.244
77,10952.489,137.006,47746,13041,18893,79680,4288,35906.978
78,11074.914,122.425,47961,13095,18944,80000,4309,36003.906
79,11182.393,107.479,48191,13146,18983,80320,4328,36078.027
80,11317.463,135.070,48395,13199,19046,80640,4355,36197.761
81,11460.917,143.454,48587,13259,19114,80960,4378,36326.998
82,11574.804,113.887,48818,13305,19157,81280,4388,36408.721
83,11743.761,168.957,49000,13347,19253,81600,4419,36591.174
84,11868.084,124.323,49214,13400,19306,81920,4428,36691.902
85,11996.470,128.386,49401,13481,19358,82240,4441,36790.731
86,12134.721,138.251,49576,13568,19416,82560,4461,36900.962
87,12257.908,123.187,49794,13620,19466,82880,4473,36995.990
88,12394.241,136.333,49996,13675,19529,83200,4483,37115.724
89,12509.304,115.064,50225,13718,19577,83520,4491,37206.950
90,12626.264,116.960,50447,13768,19625,83840,4503,37298.176
91,12745.461,119.197,50677,13807,19676,84160,4520,37395.104
92,12849.719,104.258,50923,13843,19714,84480,4536,37467.324
93,12968.680,118.961,51144,13892,19764,84800,4552,37562.352
94,13101.270,132.590,51364,13930,19826,85120,4571,37680.185
95,13225.668,124.398,51567,13996,19877,85440,4578,37777.113
96,13336.445,110.777,51770,14075,19915,85760,4591,37849.334
97,13460.273,123.828,51936,14186,19958,86080,4596,37931.057
98,13561.080,100.807,52136,14283,19981,86400,4606,37974.770
99,13678.112,117.032,52364,14331,20025,86720,4620,38058.394
100,13810.345,132.234,52567,14387,20086,87040,4637,38174.327
101,13909.424,99.078,52816,14423,20121,87360,4646,38240.846
102,14118.162,208.738,52972,14456,20252,87680,4659,38489.817
103,14377.194,259.033,53097,14467,20436,88000,4682,38839.517
104,14620.997,243.803,53227,14487,20606,88320,4718,39162.610
105,14824.169,203.172,53382,14526,20732,88640,4745,39402.078
106,14972.767,148.598,53599,14547,20814,88960,4775,39557.923
107,15189.137,216.370,53726,14602,20952,89280,4803,39820.198
108,15340.906,151.769,53922,14645,21033,89600,4814,39974.142
109,15468.861,127.955,54131,14700,21089,89920,4830,40080.572
110,15588.541,119.680,54357,14742,21141,90240,4838,40179.401
111,15761.685,173.144,54546,14775,21239,90560,4879,40365.654
112,15889.115,127.429,54755,14831,21294,90880,4887,40470.184
113,16058.219,169.105,54872,14954,21374,91200,4929,40622.227
114,16200.993,142.773,55005,15083,21432,91520,4947,40732.459
115,16362.576,161.583,55178,15144,21518,91840,4966,40895.906
116,16590.495,227.919,55262,15240,21658,92160,4993,41161.982
117,16746.362,155.867,55432,15310,21738,92480,5006,41314.025
118,16882.048,135.686,55644,15355,21801,92800,5017,41433.760
119,17059.171,177.124,55776,15450,21894,93120,5043,41610.510
120,17213.507,154.335,55985,15476,21979,93440,5062,41772.057
121,17348.146,134.639,56215,15498,22047,93760,5091,41901.294
122,17496.158,148.012,56408,15550,22122,94080,5099,42043.834
123,17675.318,179.160,56605,15564,22231,94400,5109,42250.994
124,17817.726,142.409,56821,15599,22300,94720,5126,42382.131
125,17958.034,140.308,57038,15631,22371,95040,5143,42517.070
126,18060.063,102.029,57297,15652,22411,95360,5150,42593.092
127,18234.321,174.258,57397,15787,22496,95680,5159,42754.638
128,18439.098,204.777,57529,15850,22621,96000,5188,42992.206
129,18594.506,155.408,57678,15947,22695,96320,5212,43132.846
130,18728.079,133.573,57897,15985,22758,96640,5226,43252.580
131,18878.537,150.458,58079,16047,22834,96960,5235,43397.022
132,18998.492,119.955,58306,16088,22886,97280,5241,43495.850
133,19187.972,189.481,58478,16120,23002,97600,5254,43716.313
134,19341.328,153.355,58629,16220,23071,97920,5258,43847.451
135,19553.267,211.939,58770,16264,23206,98240,5282,44104.024
136,19775.009,221.743,58912,16298,23350,98560,5330,44377.702
137,19958.811,183.802,59072,16355,23453,98880,5373,44573.458
138,20158.338,199.527,59234,16387,23579,99200,5443,44812.927
139,20323.868,165.529,59435,16410,23675,99520,5495,44995.379
140,20460.536,136.669,59667,16428,23745,99840,5527,45128.417
141,20642.738,182.201,59836,16470,23854,100160,5556,45335.577
