K,maxkv,static_vram_mb
16,4096,3435.0
16,8192,3636.3
16,16384,4039.0
16,32768,4844.3
16,49152,5649.6
16,65536,6454.9
16,81920,7260.2
16,98304,8065.5
16,131072,9676.1
24,4096,4166.4
24,8192,4367.7
24,16384,4770.4
24,32768,5575.7
24,49152,6381.0
24,65536,7186.3
24,81920,7991.6
24,98304,8796.9
24,131072,10407.5
32,4096,4897.8
32,8192,5099.1
32,16384,5501.7
32,32768,6307.1
32,49152,7112.4
32,65536,7917.7
32,81920,8723.0
32,98304,9528.3
32,131072,11138.9
48,4096,6360.5
48,8192,6561.9
48,16384,6964.5
48,32768,7769.8
48,49152,8575.1
48,65536,9380.4
48,81920,10185.7
48,98304,10991.0
48,131072,12601.7
64,4096,7823.3
64,8192,8024.6
64,16384,8427.3
64,32768,9232.6
64,49152,10037.9
64,65536,10843.2
64,81920,11648.5
64,98304,12453.8
64,131072,14064.4
