tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,12387,39,5814,18240,480,11109.261
2,277.001,277.001,12702,40,5978,18720,728,11421.622
3,462.721,185.720,13094,42,6064,19200,931,11586.232
4,751.335,288.615,13391,51,6238,19680,1236,11919.532
5,953.341,202.006,13767,56,6337,20160,1472,12109.308
6,1177.243,223.902,14125,60,6455,20640,1696,12338.651
7,1425.124,247.881,14462,64,6594,21120,1879,12601.639
8,1664.950,239.826,14804,65,6731,21600,2076,12864.602
9,1902.232,237.282,15148,67,6865,22080,2246,13123.338
10,2188.147,285.915,15451,67,7042,22560,2428,13460.324
11,2389.709,201.562,15824,77,7139,23040,2560,13644.939
12,2601.549,211.841,16192,79,7249,23520,2675,13854.990
13,2796.555,195.006,16575,82,7343,24000,2778,14037.811
14,3123.327,326.772,16840,83,7557,24480,2997,14450.541
15,3324.424,201.097,17218,84,7658,24960,3101,14643.585
16,3514.095,189.671,17603,99,7738,25440,3183,14795.416
17,3694.469,180.375,17998,104,7818,25920,3263,14947.516
18,3866.232,171.763,18400,109,7891,26400,3334,15087.772
19,4101.933,235.701,18739,124,8017,26880,3456,15329.378
20,4262.244,160.311,19139,141,8080,27360,3519,15448.965
21,4438.427,176.183,19534,150,8156,27840,3593,15594.799
22,4698.344,259.916,19859,152,8309,28320,3749,15888.777
23,4930.116,231.772,20210,154,8436,28800,3852,16131.072
24,5061.175,131.059,20648,156,8476,29280,3890,16207.798
25,5232.484,171.309,21044,167,8549,29760,3954,16346.972
26,5380.295,147.811,21467,171,8602,30240,4000,16450.486
27,5731.075,350.779,21711,173,8836,30720,4155,16901.038
28,6085.421,354.347,21949,175,9076,31200,4308,17361.125
29,6336.227,250.806,22265,194,9221,31680,4362,17635.000
30,6537.694,201.467,22631,210,9319,32160,4415,17821.114
31,6895.943,358.250,22857,218,9565,32640,4632,18286.141
32,7076.221,180.278,23251,225,9644,33120,4686,18438.095
33,7285.909,209.688,23618,228,9754,33600,4727,18646.524
34,7496.055,210.146,23987,232,9861,34080,4786,18852.618
35,7753.971,257.916,24317,233,10010,34560,4827,19136.545
36,7999.172,245.200,24659,234,10147,35040,4939,19400.589
37,8198.602,199.431,25037,235,10248,35520,4990,19593.634
38,8349.387,150.784,25447,252,10301,36000,5013,19697.148
39,8570.513,221.126,25797,269,10414,36480,5094,19915.481
40,8816.005,245.493,26131,277,10552,36960,5200,20175.888
41,9098.567,282.562,26435,279,10726,37440,5271,20509.458
42,9299.615,201.048,26814,280,10826,37920,5333,20703.437
43,9587.492,287.877,27110,282,11008,38400,5469,21049.811
44,9750.107,162.614,27519,286,11075,38880,5518,21177.287
45,9989.433,239.326,27862,290,11208,39360,5588,21428.847
46,10189.222,199.790,28234,301,11305,39840,5661,21614.813
47,10326.398,137.175,28669,301,11350,40320,5698,21700.927
48,10469.197,142.799,29096,304,11400,40800,5730,21796.970
49,10717.483,248.286,29433,306,11541,41280,5810,22068.093
50,10853.006,135.523,29871,306,11583,41760,5836,22149.169
51,10995.746,142.740,30300,307,11633,42240,5875,22245.482
52,11174.711,178.966,30695,310,11715,42720,5909,22401.393
53,11391.873,217.161,31056,313,11831,43200,5975,22618.006
54,11595.506,203.633,31436,315,11929,43680,6021,22803.849
55,11864.897,269.391,31754,318,12088,44160,6084,23107.363
56,12072.172,207.275,32131,320,12189,44640,6132,23301.489
57,12243.429,171.257,32536,325,12259,45120,6166,23437.246
58,12454.734,211.305,32892,347,12361,45600,6247,23632.060
59,12657.112,202.378,33266,352,12462,46080,6329,23825.375
60,12822.983,165.872,33678,352,12530,46560,6382,23957.594
61,12992.264,169.281,34081,357,12602,47040,6436,24097.972
62,13229.221,236.956,34419,367,12734,47520,6476,24351.007
63,13565.316,336.095,34674,368,12958,48000,6497,24783.593
64,13928.695,363.379,34903,372,13205,48480,6606,25260.122
65,14184.028,255.333,35240,372,13348,48960,6666,25535.594
66,14436.666,252.638,35571,373,13496,49440,6715,25819.644
67,14700.684,264.019,35886,380,13654,49920,6746,26120.847
68,14950.258,249.574,36214,388,13798,50400,6771,26393.764
69,15271.920,321.662,36481,391,14008,50880,6841,26796.442
70,15432.495,160.575,36893,394,14073,51360,6857,26921.189
71,15636.337,203.842,37263,399,14178,51840,6870,27124.285
72,15887.524,251.188,37597,399,14324,52320,6898,27403.715
73,16060.824,173.299,38000,400,14400,52800,6925,27547.386
74,16257.991,197.168,38385,400,14495,53280,6937,27725.758
75,16519.174,261.183,38707,403,14650,53760,6967,28025.709
76,16703.592,184.419,39101,403,14736,54240,6989,28190.048
77,16939.465,235.873,39450,403,14867,54720,7009,28440.773
78,17171.799,232.334,39801,404,14995,55200,7037,28688.081
79,17420.090,248.292,40134,405,15141,55680,7058,28965.888
80,17571.060,150.970,40559,405,15196,56160,7064,29073.482
81,17778.434,207.373,40929,408,15303,56640,7080,29277.413
82,18016.774,238.341,41273,411,15436,57120,7106,29532.488
83,18433.927,417.153,41453,414,15733,57600,7161,30098.301
84,18618.783,184.856,41850,421,15809,58080,7194,30245.487
85,18792.680,173.897,42258,422,15880,58560,7243,30382.203
86,19007.406,214.726,42630,423,15987,59040,7314,30586.405
87,19199.931,192.525,43017,425,16078,59520,7356,30761.484
88,19384.021,184.090,43408,429,16163,60000,7378,30922.433
89,19539.617,155.596,43829,430,16221,60480,7410,31032.361
90,19701.720,162.103,44240,434,16286,60960,7440,31158.460
91,20087.520,385.800,44449,434,16557,61440,7482,31679.619
92,20350.599,263.079,44773,436,16711,61920,7536,31974.285
93,20545.627,195.028,45158,436,16806,62400,7560,32158.335
94,20719.213,173.585,45561,437,16882,62880,7582,32302.547
95,20973.826,254.613,45887,442,17031,63360,7636,32587.555
96,21217.172,243.346,46224,445,17171,63840,7680,32854.745
97,21412.642,195.470,46608,445,17267,64320,7723,33038.672
98,21578.201,165.559,47014,449,17337,64800,7744,33170.915
99,21801.267,223.066,47370,450,17460,65280,7764,33405.592
100,22031.580,230.313,47719,452,17589,65760,7800,33652.777
101,22218.312,186.732,48107,454,17679,66240,7815,33823.924
102,22420.285,201.973,48480,466,17774,66720,7839,34005.541
103,22605.535,185.250,48876,469,17855,67200,7866,34162.385
104,22757.626,152.091,49293,475,17912,67680,7878,34271.625
105,23026.240,268.614,49608,477,18075,68160,7906,34581.946
106,23230.702,204.463,49983,477,18180,68640,7942,34783.420
107,23432.751,202.049,50361,480,18279,69120,7976,34972.656
108,23691.670,258.919,50689,480,18431,69600,8001,35262.702
109,23873.124,181.453,51086,482,18512,70080,8011,35416.842
110,24081.641,208.517,51456,484,18620,70560,8019,35622.814
111,24246.607,164.966,51842,514,18684,71040,8030,35746.333
112,24453.392,206.785,52203,529,18788,71520,8056,35942.793
113,24622.004,168.612,52604,545,18851,72000,8069,36063.732
114,24857.587,235.582,52939,559,18982,72480,8105,36315.267
115,25059.271,201.684,53313,564,19083,72960,8135,36508.852
116,25281.575,222.304,53667,571,19202,73440,8168,36735.910
117,25467.104,185.530,54046,588,19286,73920,8186,36899.684
118,25609.197,142.092,54454,616,19330,74400,8195,36983.218
119,25746.285,137.089,54865,646,19369,74880,8199,37057.364
120,25918.659,172.374,55260,657,19443,75360,8204,37198.848
121,26061.267,142.608,55678,673,19489,75840,8218,37286.732
122,26219.643,158.377,56089,680,19551,76320,8229,37404.549
123,26431.846,212.203,56439,702,19659,76800,8247,37612.143
124,26659.858,228.012,56789,709,19782,77280,8270,37846.278
125,26866.222,206.363,57162,712,19886,77760,8291,38049.767
126,27090.600,224.378,57517,715,20008,78240,8301,38281.863
127,27258.274,167.674,57926,715,20079,78720,8317,38418.850
128,27451.948,193.674,58306,721,20173,79200,8333,38600.860
129,27657.964,206.016,58652,760,20268,79680,8363,38782.476
130,27809.947,151.983,59053,784,20323,80160,8384,38886.556
131,27965.316,155.369,59452,809,20379,80640,8401,38994.026
132,28149.031,183.715,59834,826,20460,81120,8422,39148.978
133,28315.094,166.063,60238,831,20531,81600,8443,39282.180
134,28456.049,140.955,60615,898,20567,82080,8459,39350.477
135,28598.889,142.840,61017,935,20608,82560,8474,39427.891
136,28807.168,208.279,61381,954,20705,83040,8492,39615.480
137,28982.230,175.062,61774,966,20780,83520,8515,39760.355
138,29253.621,271.391,62052,1010,20938,84000,8554,40059.126
139,29458.172,204.552,62407,1034,21039,84480,8584,40252.441
140,29590.546,132.374,62823,1064,21073,84960,8590,40318.009
141,29778.402,187.856,63187,1094,21159,85440,8607,40480.457
142,29968.893,190.490,63557,1114,21249,85920,8624,40650.523
143,30129.648,160.756,63956,1136,21308,86400,8640,40763.572
144,30292.570,162.921,64354,1155,21371,86880,8653,40882.348
145,30520.105,227.535,64703,1160,21497,87360,8663,41120.440
146,30780.317,260.212,65020,1181,21639,87840,8690,41392.521
147,30996.897,216.580,65389,1184,21747,88320,8723,41598.763
148,31209.739,212.842,65748,1193,21859,88800,8746,41813.434
149,31402.861,193.122,66129,1196,21955,89280,8758,41998.713
150,31620.059,217.198,66492,1199,22069,89760,8765,42217.193
151,31790.609,170.549,66900,1202,22138,90240,8782,42350.641
152,31948.853,158.244,67319,1205,22196,90720,8797,42461.921
153,32132.045,183.192,67704,1221,22275,91200,8811,42614.956
154,32344.458,212.413,68052,1251,22377,91680,8826,42814.095
155,32588.806,244.347,68386,1258,22516,92160,8841,43080.057
156,32825.859,237.054,68732,1260,22648,92640,8856,43330.388
157,33069.782,243.922,69072,1265,22783,93120,8873,43587.379
158,33237.774,167.992,69481,1266,22853,93600,8884,43721.515
159,33403.777,166.003,69890,1269,22921,94080,8891,43851.842
160,33588.994,185.217,70278,1278,23004,94560,8931,44011.414
161,33772.985,183.991,70666,1291,23083,95040,8942,44164.448
162,33986.654,213.669,71027,1302,23191,95520,9011,44371.231
163,34179.451,192.797,71410,1307,23283,96000,9075,44548.620
164,34361.187,181.736,71806,1309,23365,96480,9136,44706.963
165,34549.874,188.688,72193,1315,23452,96960,9176,44872.262
166,34967.331,417.456,72365,1318,23757,97440,9204,45446.283
167,35135.166,167.835,72780,1318,23822,97920,9246,45571.031
168,35276.120,140.955,73209,1323,23868,98400,9261,45659.185
169,35432.358,156.238,73616,1337,23927,98880,9267,45771.964
170,35701.627,269.269,73928,1342,24090,99360,9278,46083.367
171,35928.018,226.390,74270,1360,24210,99840,9298,46310.302
172,36127.228,199.210,74641,1374,24305,100320,9317,46492.189
173,36358.420,231.192,74982,1385,24433,100800,9327,46735.442
174,36747.182,388.763,75189,1387,24704,101280,9349,47257.141
175,37080.683,333.501,75445,1390,24925,101760,9397,47679.283
176,37320.349,239.666,75791,1394,25055,102240,9418,47928.779
177,37542.186,221.838,76149,1398,25173,102720,9429,48152.986
178,37808.273,266.087,76468,1399,25333,103200,9434,48458.269
179,38060.763,252.490,76799,1402,25479,103680,9462,48734.724
180,38278.437,217.673,77161,1405,25594,104160,9492,48954.163
181,38464.832,186.395,77555,1407,25678,104640,9504,49117.127
182,38706.967,242.135,77894,1413,25813,105120,9523,49376.551
183,38912.299,205.332,78256,1431,25913,105600,9530,49569.448
184,39202.079,289.780,78551,1436,26093,106080,9543,49915.798
185,39466.507,264.428,78874,1438,26248,106560,9559,50213.044
186,39694.590,228.083,79229,1438,26373,107040,9572,50452.611
