tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,10526,1291,6423,18240,480,12265.267
2,274.791,274.791,10799,1318,6603,18720,728,12608.373
3,494.419,219.628,11099,1369,6732,19200,931,12854.747
4,868.952,374.533,11277,1396,7007,19680,1236,13380.280
5,1167.435,298.484,11521,1426,7213,20160,1472,13772.636
6,1447.915,280.479,11775,1464,7401,20640,1696,14132.330
7,1707.024,259.109,12070,1474,7576,21120,1879,14461.452
8,1988.323,281.299,12348,1482,7770,21600,2076,14832.304
9,2250.390,262.067,12644,1499,7937,22080,2246,15154.299
10,2535.460,285.070,12885,1551,8124,22560,2428,15510.061
11,2873.700,338.241,13060,1618,8362,23040,2560,15958.499
12,3114.196,240.496,13330,1708,8482,23520,2675,16187.867
13,3330.482,216.286,13604,1804,8592,24000,2778,16401.162
14,3683.116,352.634,13786,1851,8843,24480,2997,16883.958
15,3885.884,202.768,14095,1910,8955,24960,3101,17098.088
16,4085.035,199.150,14427,1947,9066,25440,3183,17309.909
17,4255.324,170.290,14793,1970,9157,25920,3263,17483.637
18,4445.111,189.786,15122,2018,9260,26400,3334,17680.220
19,4697.864,252.754,15410,2047,9423,26880,3456,17993.785
20,4899.630,201.766,15744,2080,9536,27360,3519,18209.415
21,5110.989,211.358,16054,2128,9658,27840,3593,18442.592
22,5365.686,254.697,16335,2163,9822,28320,3749,18756.575
23,5595.326,229.641,16655,2178,9967,28800,3852,19033.694
24,5716.525,121.199,17054,2215,10011,29280,3890,19117.769
25,5927.482,210.957,17345,2286,10129,29760,3954,19344.138
26,6102.206,174.724,17688,2336,10216,30240,4000,19512.410
27,6549.589,447.382,17788,2372,10560,30720,4155,20168.688
28,6939.625,390.036,17950,2402,10848,31200,4308,20719.116
29,7299.971,360.346,18152,2414,11114,31680,4362,21226.021
30,7604.548,304.577,18398,2436,11326,32160,4415,21629.805
31,7990.580,386.032,18556,2472,11612,32640,4632,22171.828
32,8241.267,250.687,18837,2514,11769,33120,4686,22470.181
33,8545.380,304.113,19084,2532,11984,33600,4727,22875.759
34,8822.006,276.627,19335,2580,12165,34080,4786,23224.148
35,9134.305,312.298,19575,2606,12379,34560,4827,23633.093
36,9389.500,255.195,19865,2631,12544,35040,4939,23951.278
37,9624.218,234.718,20149,2685,12686,35520,4990,24222.548
38,9825.644,201.427,20459,2745,12796,36000,5013,24435.843
39,10113.556,287.912,20712,2778,12990,36480,5094,24807.506
40,10377.109,263.553,21006,2785,13169,36960,5200,25146.409
41,10702.012,324.903,21181,2870,13389,37440,5271,25568.133
42,10910.630,208.617,21492,2921,13507,37920,5333,25797.476
43,11216.485,305.856,21735,2948,13717,38400,5469,26196.099
44,11401.229,184.744,22061,3006,13813,38880,5518,26378.404
45,11673.759,272.530,22298,3077,13985,39360,5588,26704.110
46,11889.724,215.965,22600,3129,14111,39840,5661,26945.446
47,12049.867,160.142,22918,3227,14175,40320,5698,27067.073
48,12217.254,167.387,23243,3308,14249,40800,5730,27208.557
49,12483.317,266.064,23498,3362,14420,41280,5810,27537.089
50,12627.969,144.652,23827,3467,14466,41760,5836,27625.783
51,12791.512,163.543,24123,3586,14531,42240,5875,27750.261
52,13022.701,231.189,24403,3659,14658,42720,5909,27992.285
53,13275.040,252.338,24633,3774,14793,43200,5975,28245.221
54,13514.291,239.251,24847,3916,14917,43680,6021,28481.667
55,13819.674,305.383,25081,3949,15130,44160,6084,28886.950
56,14067.970,248.296,25366,4000,15274,44640,6132,29163.381
57,14310.189,242.219,25621,4099,15400,45120,6166,29407.691
58,14600.818,290.629,25857,4169,15574,45600,6247,29739.098
59,14821.627,220.809,26146,4250,15684,46080,6329,29949.420
60,14997.316,175.689,26520,4274,15766,46560,6382,30108.303
61,15183.364,186.048,26876,4306,15858,47040,6436,30287.585
62,15510.586,327.223,27079,4379,16062,47520,6476,30678.835
63,15930.542,419.955,27239,4402,16359,48000,6497,31248.163
64,16301.361,370.820,27429,4417,16634,48480,6606,31775.588
65,16553.376,252.015,27744,4423,16793,48960,6666,32080.724
66,16868.593,315.217,27991,4433,17016,49440,6715,32508.297
67,17206.783,338.189,28209,4452,17259,49920,6746,32969.908
68,17481.398,274.616,28495,4459,17446,50400,6771,33324.048
69,17804.826,323.428,28728,4478,17674,50880,6841,33760.469
70,17964.414,159.588,29119,4488,17753,51360,6857,33910.800
71,18208.751,244.337,29409,4530,17901,51840,6870,34195.390
72,18469.503,260.751,29679,4575,18066,52320,6898,34509.791
73,18670.768,201.266,29975,4650,18175,52800,6925,34716.180
74,18873.837,203.069,30290,4698,18292,53280,6937,34936.185
