tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,8281,336,3543,12160,320,6733.627
2,476.071,476.071,8465,387,3628,12480,601,6895.174
3,761.910,285.839,8700,401,3699,12800,716,7030.112
4,966.807,204.897,8969,407,3744,13120,798,7115.637
5,1152.735,185.928,9248,413,3779,13440,879,7182.156
6,1550.757,398.023,9443,479,3838,13760,1068,7294.288
7,1874.394,323.637,9661,556,3863,14080,1215,7341.801
8,2168.358,293.964,9884,630,3886,14400,1335,7385.514
9,2540.733,372.374,10092,717,3911,14720,1496,7433.028
10,2830.340,289.608,10318,773,3949,15040,1603,7505.248
11,3265.388,435.047,10530,818,4012,15360,1718,7624.983
12,3443.672,178.285,10803,840,4037,15680,1771,7672.496
13,3652.917,209.244,11073,872,4055,16000,1833,7706.706
14,3917.370,264.453,11322,917,4081,16320,1906,7756.120
15,4266.857,349.487,11491,951,4198,16640,2060,7978.484
16,4455.929,189.072,11754,967,4239,16960,2117,8056.406
17,4674.092,218.163,12013,981,4286,17280,2175,8145.732
18,4848.390,174.297,12284,998,4318,17600,2221,8206.549
19,5031.229,182.840,12524,1063,4333,17920,2300,8235.057
20,5195.319,164.090,12787,1101,4352,18240,2350,8271.167
21,5414.261,218.943,13031,1141,4388,18560,2421,8339.587
22,5640.280,226.019,13286,1159,4435,18880,2478,8428.913
23,5869.741,229.461,13532,1189,4479,19200,2536,8512.537
24,6049.295,179.553,13794,1221,4505,19520,2572,8561.951
25,6428.346,379.051,13978,1271,4591,19840,2695,8725.398
26,6585.535,157.189,14231,1302,4627,20160,2746,8793.817
27,6790.988,205.453,14391,1417,4672,20480,2850,8879.342
28,6988.465,197.477,14596,1460,4744,20800,2931,9016.181
29,7163.433,174.969,14818,1494,4808,21120,2999,9137.816
30,7282.275,118.842,15087,1523,4830,21440,3019,9179.628
31,7504.559,222.283,15290,1567,4903,21760,3092,9318.367
32,7879.695,375.137,15487,1612,4981,22080,3156,9466.610
33,8283.212,403.516,15673,1639,5088,22400,3261,9669.968
34,8481.689,198.477,15920,1653,5147,22720,3315,9782.100
35,8631.732,150.043,16176,1670,5194,23040,3359,9871.426
36,8752.942,121.210,16451,1687,5222,23360,3384,9924.641
37,8907.237,154.295,16698,1707,5275,23680,3436,10025.370
38,9047.267,140.030,16920,1776,5304,24000,3463,10080.485
39,9232.994,185.726,17111,1828,5381,24320,3533,10226.827
40,9366.130,133.136,17349,1885,5406,24640,3557,10274.341
41,9502.785,136.655,17588,1931,5441,24960,3584,10340.860
42,9649.824,147.039,17809,1983,5488,25280,3619,10430.185
43,9776.072,126.249,18059,2019,5522,25600,3650,10494.804
44,9912.630,136.557,18255,2112,5553,25920,3673,10553.721
45,10024.785,112.155,18515,2151,5574,26240,3684,10593.632
46,10151.849,127.064,18753,2204,5603,26560,3702,10648.748
47,10275.341,123.492,18991,2258,5631,26880,3728,10701.963
48,10452.666,177.326,19178,2326,5696,27200,3774,10825.499
49,10587.667,135.001,19401,2385,5734,27520,3808,10897.719
50,10693.448,105.780,19670,2417,5753,27840,3824,10933.830
51,10807.999,114.551,19935,2448,5777,28160,3846,10979.443
52,10943.727,135.728,20174,2491,5815,28480,3880,11051.663
53,11056.402,112.675,20414,2554,5832,28800,3894,11083.973
54,11190.724,134.322,20675,2569,5876,29120,3935,11167.597
55,11299.501,108.777,20953,2593,5894,29440,3951,11201.806
56,11405.785,106.284,21239,2606,5915,29760,3969,11241.718
