tok,t_ms,dt_ms,vram_hit,ram_hit,nvme_fall,reqs,distinct,disk_mb
1,0.000,0.000,7339,994,3827,12160,320,7273.382
2,208.869,208.869,7498,1022,3960,12480,601,7526.154
3,364.722,155.853,7716,1040,4044,12800,716,7685.800
4,481.105,116.383,7961,1064,4095,13120,798,7782.728
5,589.537,108.432,8218,1083,4139,13440,879,7866.352
6,807.711,218.174,8352,1135,4273,13760,1068,8121.025
7,1013.397,205.685,8504,1187,4389,14080,1215,8341.488
8,1190.235,176.838,8690,1227,4483,14400,1335,8520.139
9,1385.480,195.245,8844,1277,4599,14720,1496,8740.602
10,1544.198,158.719,9053,1300,4687,15040,1603,8907.850
11,1724.919,180.720,9238,1329,4793,15360,1718,9109.307
12,1839.747,114.829,9471,1372,4837,15680,1771,9192.931
13,1964.113,124.366,9699,1411,4890,16000,1833,9293.660
14,2103.632,139.518,9926,1441,4953,16320,1906,9413.394
15,2335.028,231.397,10070,1462,5108,16640,2060,9707.979
16,2461.005,125.977,10308,1487,5165,16960,2117,9816.310
17,2586.524,125.519,10549,1507,5224,17280,2175,9928.442
18,2698.585,112.061,10801,1527,5272,17600,2221,10019.668
19,2849.407,150.822,11025,1542,5353,17920,2300,10173.612
20,2980.493,131.086,11242,1587,5411,18240,2350,10283.844
21,3127.005,146.511,11448,1627,5485,18560,2421,10424.484
22,3264.407,137.403,11656,1678,5546,18880,2478,10540.417
23,3403.860,139.453,11848,1747,5605,19200,2536,10652.549
24,3523.281,119.421,12046,1827,5647,19520,2572,10732.372
25,3729.899,206.617,12194,1876,5770,19840,2695,10966.139
26,3858.724,128.825,12419,1912,5829,20160,2746,11078.271
27,4140.026,281.303,12507,1946,6027,20480,2850,11454.579
28,4338.104,198.078,12634,2025,6141,20800,2931,11671.241
29,4504.027,165.923,12818,2072,6230,21120,2999,11840.389
30,4626.341,122.314,13033,2129,6278,21440,3019,11931.615
31,4814.091,187.749,13205,2166,6389,21760,3092,12142.576
32,5020.712,206.621,13332,2235,6513,22080,3156,12378.243
33,5226.494,205.782,13481,2279,6640,22400,3261,12619.612
34,5366.126,139.631,13717,2294,6709,22720,3315,12750.750
35,5494.657,128.531,13959,2312,6769,23040,3359,12864.782
36,5593.981,99.324,14229,2324,6807,23360,3384,12937.003
37,5745.741,151.760,14422,2374,6884,23680,3436,13083.345
38,5933.523,187.782,14581,2425,6994,24000,3463,13292.405
39,6139.345,205.823,14709,2492,7119,24320,3533,13529.973
40,6276.265,136.919,14896,2565,7179,24640,3557,13644.005
41,6410.078,133.814,15106,2612,7242,24960,3584,13763.740
42,6586.583,176.504,15280,2658,7342,25280,3619,13953.794
43,6725.662,139.080,15512,2676,7412,25600,3650,14086.832
44,6976.565,250.903,15615,2725,7580,25920,3673,14406.124
45,7103.388,126.823,15836,2772,7632,26240,3684,14504.952
46,7267.312,163.924,16025,2816,7719,26560,3702,14670.299
47,7432.158,164.846,16195,2878,7807,26880,3728,14837.547
48,7641.306,209.148,16347,2920,7933,27200,3774,15077.016
49,7798.346,157.040,16507,3007,8006,27520,3808,15215.755
50,7918.578,120.231,16752,3032,8056,27840,3824,15310.782
51,8046.959,128.381,16981,3071,8108,28160,3846,15409.611
52,8192.054,145.095,17158,3149,8173,28480,3880,15533.146
53,8341.575,149.521,17317,3245,8238,28800,3894,15656.681
54,8473.440,131.865,17527,3300,8293,29120,3935,15761.211
55,8598.577,125.137,17737,3363,8340,29440,3951,15850.537
56,8703.197,104.620,17993,3393,8374,29760,3969,15915.155
57,8874.653,171.456,18209,3415,8456,30080,4021,16071.000
58,9008.253,133.600,18426,3461,8513,30400,4050,16179.331
59,9102.923,94.671,18670,3514,8536,30720,4065,16223.044
60,9239.535,136.612,18875,3572,8593,31040,4094,16331.375
61,9455.576,216.041,19026,3606,8728,31360,4171,16587.948
62,9565.444,109.868,19251,3666,8763,31680,4180,16654.467
63,9692.804,127.359,19457,3730,8813,32000,4209,16749.494
64,9829.657,136.853,19618,3837,8865,32320,4238,16848.323
65,9970.090,140.434,19813,3898,8929,32640,4269,16969.957
66,10071.415,101.325,20019,3986,8955,32960,4288,17019.372
67,10188.592,117.177,20200,4088,8992,33280,4303,17089.692
68,10283.000,94.408,20439,4143,9018,33600,4316,17139.106
69,10421.972,138.972,20616,4226,9078,33920,4344,17253.138
70,10590.411,168.439,20770,4304,9166,34240,4382,17420.386
71,10792.124,201.713,20916,4365,9279,34560,4407,17635.148
72,10958.481,166.357,21098,4414,9368,34880,4426,17804.296
73,11085.611,127.130,21319,4460,9421,35200,4443,17905.025
74,11369.010,283.399,21387,4514,9619,35520,4470,18281.333
75,11576.453,207.443,21555,4533,9752,35840,4482,18534.105
76,11818.455,242.002,21696,4550,9914,36160,4536,18841.993
77,12003.248,184.793,21873,4580,10027,36480,4572,19056.755
78,12226.261,223.012,22020,4606,10174,36800,4586,19336.135
79,12447.660,221.399,22179,4643,10298,37120,4619,19571.802
80,12598.624,150.964,22390,4671,10379,37440,4649,19725.746
81,12768.724,170.100,22587,4694,10479,37760,4666,19915.801
82,12904.860,136.136,22779,4762,10539,38080,4685,20029.833
83,13075.154,170.294,22943,4827,10630,38400,4712,20202.783
84,13216.684,141.530,23147,4873,10700,38720,4724,20335.821
85,13385.241,168.557,23335,4910,10795,39040,4744,20516.372
86,13560.191,174.949,23512,4955,10893,39360,4753,20702.626
87,13741.060,180.870,23694,4986,11000,39680,4756,20905.984
88,13887.365,146.305,23909,5018,11073,40000,4760,21044.724
89,14048.364,160.999,24108,5056,11156,40320,4782,21202.469
90,14179.777,131.413,24330,5094,11216,40640,4799,21316.502
91,14330.519,150.742,24531,5136,11293,40960,4805,21462.843
92,14570.739,240.220,24630,5205,11445,41280,4811,21751.726
93,14715.656,144.916,24786,5308,11506,41600,4819,21867.659
94,14866.338,150.682,24958,5390,11572,41920,4839,21993.095
95,15016.096,149.758,25155,5447,11638,42240,4853,22118.531
96,15148.183,132.087,25360,5506,11694,42560,4862,22224.962
97,15326.748,178.565,25516,5572,11792,42880,4892,22411.215
98,15589.047,262.299,25616,5621,11963,43200,4909,22736.208
99,15807.838,218.792,25783,5638,12099,43520,4916,22994.682
100,15967.325,159.486,26015,5643,12182,43840,4929,23152.427
101,16199.256,231.931,26130,5703,12327,44160,4946,23428.006
102,16345.760,146.504,26360,5721,12399,44480,4971,23564.845
103,16512.308,166.548,26545,5764,12491,44800,5004,23739.695
